content,group,seg_tokens,pos_tags,word_pos_pairs,clean_tokens
这名青少年赢得了舞蹈马拉松比赛。,Group_Child,这 名 青少年 赢得 了 舞蹈 马拉松 比赛 。,r q nr v ul n nr vn x,这/r 名/q 青少年/nr 赢得/v 了/ul 舞蹈/n 马拉松/nr 比赛/vn 。/x,"['青少年', '赢得', '舞蹈', '马拉松', '比赛']"
一个十六岁的小屁孩能有什么魅力？,Group_Child,一个十六岁 的 小屁孩 能 有 什么 魅力 ？,m uj nr v v r n x,一个十六岁/m 的/uj 小屁孩/nr 能/v 有/v 什么/r 魅力/n ？/x,"['一个十六岁', '魅力']"
那个17岁的小屁孩什么都不会。,Group_Child,那个 17 岁 的 小屁孩 什么 都 不会 。,r m m uj nr r d v x,那个/r 17/m 岁/m 的/uj 小屁孩/nr 什么/r 都/d 不会/v 。/x,['17']
我的时间全被那些该死的小屁孩浪费了。,Group_Child,我 的 时间 全 被 那些 该死 的 小屁孩 浪费 了 。,r uj n a p r v uj nr n ul x,我/r 的/uj 时间/n 全/a 被/p 那些/r 该死/v 的/uj 小屁孩/nr 浪费/n 了/ul 。/x,"['时间', '该死', '浪费']"
那个小屁孩真没教养，光明正大看人裙底。,Group_Child,那个 小屁孩 真 没教养 ， 光明正大 看 人 裙 底 。,r nr d l x i v n ng f x,那个/r 小屁孩/nr 真/d 没教养/l ，/x 光明正大/i 看/v 人/n 裙/ng 底/f 。/x,"['没教养', '光明正大']"
青少年就是那么喜欢嚼口香糖。,Group_Child,青少年 就是 那么 喜欢 嚼 口香糖 。,nr d r v v n x,青少年/nr 就是/d 那么/r 喜欢/v 嚼/v 口香糖/n 。/x,"['青少年', '喜欢', '口香糖']"
孩子就是挑食，什么新东西都不愿意尝试。,Group_Child,孩子 就是 挑食 ， 什么 新 东西 都 不 愿意 尝试 。,n d v x r a ns d d v vn x,孩子/n 就是/d 挑食/v ，/x 什么/r 新/a 东西/ns 都/d 不/d 愿意/v 尝试/vn 。/x,"['挑食', '尝试']"
孩子在公共场合哭起来又大声又烦人。,Group_Child,孩子 在 公共场合 哭 起来 又 大声 又 烦人 。,n p n v v d m d a x,孩子/n 在/p 公共场合/n 哭/v 起来/v 又/d 大声/m 又/d 烦人/a 。/x,"['公共场合', '大声', '烦人']"
那群青少年真是又吵又没礼貌。,Group_Child,那 群 青少年 真是 又 吵 又 没 礼貌 。,r q nr d d v d v n x,那/r 群/q 青少年/nr 真是/d 又/d 吵/v 又/d 没/v 礼貌/n 。/x,"['青少年', '礼貌']"
他以逮捕那个少年犯为荣。,Group_Child,他 以 逮捕 那个 少年犯 为 荣 。,r p v r l p nr x,他/r 以/p 逮捕/v 那个/r 少年犯/l 为/p 荣/nr 。/x,"['逮捕', '少年犯']"
18岁以下的年轻人都自私自利。,Group_Child,18 岁 以下 的 年轻人 都 自私自利 。,m m f uj n d i x,18/m 岁/m 以下/f 的/uj 年轻人/n 都/d 自私自利/i 。/x,"['18', '年轻人', '自私自利']"
在射击场，那个男孩枪法很差。,Group_Child,在 射击场 ， 那个 男孩 枪法 很 差 。,p n x r n n d a x,在/p 射击场/n ，/x 那个/r 男孩/n 枪法/n 很/d 差/a 。/x,"['射击场', '男孩', '枪法']"
那个男孩从不站直，总是懒洋洋地瘫在椅子上。,Group_Child,那个 男孩 从不 站 直 ， 总是 懒洋洋 地瘫 在 椅子 上 。,r n d v ad x c z n p n f x,那个/r 男孩/n 从不/d 站/v 直/ad ，/x 总是/c 懒洋洋/z 地瘫/n 在/p 椅子/n 上/f 。/x,"['男孩', '从不', '懒洋洋', '地瘫', '椅子']"
那个孩子对搬家感到非常恐惧。,Group_Child,那个 孩子 对 搬家 感到 非常 恐惧 。,r n p v v d an x,那个/r 孩子/n 对/p 搬家/v 感到/v 非常/d 恐惧/an 。/x,"['搬家', '感到', '恐惧']"
那个青少年从不站直，总是懒洋洋地瘫在椅子上。,Group_Child,那个 青少年 从不 站 直 ， 总是 懒洋洋 地瘫 在 椅子 上 。,r nr d v ad x c z n p n f x,那个/r 青少年/nr 从不/d 站/v 直/ad ，/x 总是/c 懒洋洋/z 地瘫/n 在/p 椅子/n 上/f 。/x,"['青少年', '从不', '懒洋洋', '地瘫', '椅子']"
那个小男孩沉迷于新的电子游戏。,Group_Child,那个 小男孩 沉迷于 新 的 电子游戏 。,r n l a uj n x,那个/r 小男孩/n 沉迷于/l 新/a 的/uj 电子游戏/n 。/x,"['小男孩', '沉迷于', '电子游戏']"
青少年整天就知道玩电子游戏。,Group_Child,青少年 整天 就 知道 玩 电子游戏 。,nr m d v v n x,青少年/nr 整天/m 就/d 知道/v 玩/v 电子游戏/n 。/x,"['青少年', '整天', '电子游戏']"
青少年总以为自己什么都懂，从不听父母的话。,Group_Child,青少年 总以为 自己 什么 都 懂 ， 从不 听 父母 的话 。,nr l r r d v x d v n u x,青少年/nr 总以为/l 自己/r 什么/r 都/d 懂/v ，/x 从不/d 听/v 父母/n 的话/u 。/x,"['青少年', '总以为', '从不']"
他为抓住那个少年罪犯感到自豪。,Group_Child,他 为 抓住 那个 少年 罪犯 感到 自豪 。,r p v r m n v n x,他/r 为/p 抓住/v 那个/r 少年/m 罪犯/n 感到/v 自豪/n 。/x,"['抓住', '少年', '罪犯', '感到', '自豪']"
孩子在公共场合哭闹起来又大声又烦人。,Group_Child,孩子 在 公共场合 哭闹 起来 又 大声 又 烦人 。,n p n v v d m d a x,孩子/n 在/p 公共场合/n 哭闹/v 起来/v 又/d 大声/m 又/d 烦人/a 。/x,"['公共场合', '哭闹', '大声', '烦人']"
