content,group
这名青少年赢得了舞蹈马拉松比赛。,Group_Child
一个十六岁的小屁孩能有什么魅力？,Group_Child
那个17岁的小屁孩什么都不会。,Group_Child
我的时间全被那些该死的小屁孩浪费了。,Group_Child
那个小屁孩真没教养，光明正大看人裙底。,Group_Child
青少年就是那么喜欢嚼口香糖。,Group_Child
孩子就是挑食，什么新东西都不愿意尝试。,Group_Child
孩子在公共场合哭起来又大声又烦人。,Group_Child
那群青少年真是又吵又没礼貌。,Group_Child
他以逮捕那个少年犯为荣。,Group_Child
18岁以下的年轻人都自私自利。,Group_Child
在射击场，那个男孩枪法很差。,Group_Child
那个男孩从不站直，总是懒洋洋地瘫在椅子上。,Group_Child
那个孩子对搬家感到非常恐惧。,Group_Child
那个青少年从不站直，总是懒洋洋地瘫在椅子上。,Group_Child
那个小男孩沉迷于新的电子游戏。,Group_Child
青少年整天就知道玩电子游戏。,Group_Child
青少年总以为自己什么都懂，从不听父母的话。,Group_Child
他为抓住那个少年罪犯感到自豪。,Group_Child
孩子在公共场合哭闹起来又大声又烦人。,Group_Child
更累的是，这个离不开人的病人还处于叛逆期。,Group_Child
他的要求就像一个叛逆少年，非要逃课去上网。,Group_Child
我真的深刻体会到，为什么坐车不能遇到小屁孩。,Group_Child
这话也就这小屁孩说得出来。,Group_Child
楼上又开始吵架了，我能清晰地感知到中年父亲的无奈与叛逆期女儿的不服。,Group_Child
一群小屁孩叫着莫名其妙的黑称，真吓人。,Group_Child
12块钱对于一个初一的小屁孩来说是笔巨款。,Group_Child
早上7点就起床？真是个肉嘟嘟的小屁孩。,Group_Child
让我一个没感情经验的人去处理一群小屁孩的感情问题，真是疯了！,Group_Child
同样是三岁的小屁孩，为什么一个成了引导者，一个成了弱智？,Group_Child
他进入了叛逆阶段，我发现他开始偶尔不洗澡了。,Group_Child
你个小屁孩再乱动我东西试试？几千块的吊坠说拿就拿。,Group_Child
刷到一群又黑又丑的小屁孩，我有点受不了了。,Group_Child
未成年的小屁孩玩游戏不讲逻辑，就知道抱团。,Group_Child
你上初中了，我怕你叛逆。,Group_Child
他总给我一种小屁孩装大人的感觉。,Group_Child
小屁孩，我要把你揍哭！,Group_Child
一个刚满十八岁的小屁孩，还敢参加这个？,Group_Child
一大早，一个小屁孩就跑来叫醒我给他拆玩具。,Group_Child
他只是一个小屁孩，什么都不懂。,Group_Child
我只想看他，不想看那些小屁孩。,Group_Child
我的时间就是被你们这些该死的小屁孩浪费的。,Group_Child
青春期的孩子那不叫叛逆，那叫有主见。,Group_Child
叛逆期真的很难熬。,Group_Child
你个小屁孩装什么装？,Group_Child
只有我还是个穷小屁孩。,Group_Child
我不信这个小屁孩还有两个月就要成年了。,Group_Child
一个小屁孩到办公室玩，把同事的招财猫摔坏了。,Group_Child
那个小屁孩正在角落里玩旋转木马。,Group_Child
那个孩子长大后就叛逆了。,Group_Child
他就是个硬要唱歌的小屁孩，透着一股虚荣和中二的味道。,Group_Child
我绝不会原谅那些深夜还在大声喧哗的小屁孩。,Group_Child
一个才两个多月的小屁孩，怎么这么有心眼，出了门就不想回家？,Group_Child
吾儿叛逆，伤透吾心。,Group_Child
威胁一个小屁孩，你可真有本领啊！,Group_Child
他小时候真的就是一个小屁孩。,Group_Child
这小屁孩真的是快气死我了！,Group_Child
为什么我每次坐高铁，后面都会有小屁孩？,Group_Child
小屁孩能不能走远点，很讨厌啊！,Group_Child
这帮小屁孩，真是欠揍。,Group_Child
婚姻破裂，孩子叛逆，他的健康也受到了损害。,Group_Child
我的手机内存快被小屁孩的照片占满了。,Group_Child
这孩子太叛逆了，真不好管。,Group_Child
我再也不想和小屁孩聊天了，神烦！,Group_Child
感觉他还是那个没成年的小屁孩。,Group_Child
大的孩子到了叛逆期，动不动就发脾气。,Group_Child
那个小屁孩真让人恶心，他后来是怎么死的？,Group_Child
背后打电话威胁人，真是小屁孩干的事。,Group_Child
你再欺负小屁孩，就不让你玩手机了。,Group_Child
小屁孩真烦人。,Group_Child
他从一个只会催更的小屁孩，变成了一个只会催更的打工人。,Group_Child
这个小屁孩又来怼我，说我没他有生活经验。,Group_Child
我愉悦的心情瞬间被那个小屁孩的成绩击得粉碎。,Group_Child
我什么时候才能长大啊？不想再当小屁孩了。,Group_Child
你个小屁孩，星期天睡什么懒觉！,Group_Child
更年期遇上叛逆期，我真的不想和家里有任何联系，太烦了。,Group_Child
楼上的小屁孩怎么又开始哭了？,Group_Child
看到在地铁里跳钢管舞的小屁孩，就想一脚踹过去。,Group_Child
车上的小屁孩大哭大叫，吵得我脑仁疼。,Group_Child
什么青春期叛逆？完全就是教育的问题！,Group_Child
当初我还是个没谈过恋爱的小屁-孩。,Group_Child
花瓣全被小屁孩摘光了，连土都给刨了出来。,Group_Child
回家还得面对2岁叛逆的孩子，他不停地哼哼唧唧。,Group_Child
我之前还嫌弃过他是小屁孩的形象。,Group_Child
要处理青春期叛逆问题，高年级的老师真不好当。,Group_Child
孩子的叛逆期真的让我很难熬。,Group_Child
想谈恋爱”这种话只会从你这种小屁孩嘴里说出来。,Group_Child
那两个小屁孩都不在我的考虑范围之内。,Group_Child
他的青春期到了吗？怎么这么叛逆？,Group_Child
小屁孩这么小，怎么就知道叫妈妈了？,Group_Child
吃饭最怕碰到小孩了，一大堆小屁孩吵死了。,Group_Child
在我眼里，他就是个小屁孩！,Group_Child
这一群小屁孩没一个省心的。,Group_Child
青春期的小屁孩完全说不通，真不懂他们怎么想的。,Group_Child
那个在拥挤的楼梯上蹦跳的小屁孩，真想踹他一脚。,Group_Child
这个恶魔般的熊孩子是哪来的？！,Group_Child
参加冬青奥的都是些小屁孩。,Group_Child
那群小屁孩里，只有一个叫我姐姐。,Group_Child
那个年纪的小屁孩，性取向都还没开化吧？,Group_Child
我讨厌小孩子，因为他们总是在泳池里乱窜。,Group_Child
今天几个小屁孩玩水溅了我一身，气得我好想骂人。,Group_Child
这就是一个小屁孩混进去了。,Group_Child
幸好她的叛逆期很短。,Group_Child
他觉得对方是个小屁孩，不带他一起玩。,Group_Child
我还要去面对20个一年级的小屁孩。,Group_Child
他完全还是个小屁孩。,Group_Child
看完第一集，我只记得一群小屁孩了。,Group_Child
我真想穿过屏幕捶死这个小屁孩。,Group_Child
那个不修边幅的女探员，可能带着一个叛逆期的孩子。,Group_Child
楼上的小屁孩在砸地板，门外的小屁孩在哭闹。,Group_Child
我又不是没见过世面的小屁孩。,Group_Child
想当年，我还是个不知天高地厚的小屁孩。,Group_Child
就知道在一些不懂事的小屁孩面前吹牛逼。,Group_Child
后面坐了一个爆炸吵的小屁孩，我好崩溃。,Group_Child
我真的太讨厌熊孩子和他们的家长了。,Group_Child
生个孩子不仅漏尿气虚，长大后还绝对叛逆。,Group_Child
那个穿我裙子臭美的小屁孩。,Group_Child
我讨厌所有没有边界感的小屁孩。,Group_Child
青春期没怎么叛逆的后果，就是二十岁后才开始把父母不让做的事都做一遍。,Group_Child
那个小屁孩居然说我的宠物猪长得丑。,Group_Child
我不想像个小屁孩一样哭哭啼啼地博取同情。,Group_Child
这群小屁孩的唱功是真烂啊。,Group_Child
一个熊孩子踹到了我的书包。,Group_Child
我都困了，这小屁孩怎么还不睡觉？,Group_Child
他就像那种青春期逃学的叛逆小孩。,Group_Child
他总幻想自己能回去吊打那群小屁孩。,Group_Child
我快被这几个小屁孩气死了！,Group_Child
这小屁孩怎么还不睡觉呢？,Group_Child
在网上挑事对线的都是这种小屁孩。,Group_Child
周末的麦当劳要被小屁孩吵死了。,Group_Child
不要总想着支配你的孩子，尤其是在他很叛逆的时候。,Group_Child
不玩微博就是装老粉的小屁孩，还是好好上学去吧。,Group_Child
最烦高铁上大声叫唤的小屁孩了。,Group_Child
他觉得自己很叛逆，于是开始抽烟、喝酒、逃课。,Group_Child
课堂上总是心不在焉的他，原来早就是叛逆的年纪了。,Group_Child
去死吧，小屁孩！,Group_Child
早知道还不如做个叛逆的小孩。,Group_Child
一个5岁半的孩子突然到了叛逆敏感期。,Group_Child
熊孩子是真的烦人。,Group_Child
每次一卸妆，看到镜子里那副小屁孩的模样就心烦。,Group_Child
他谈起恋爱来就像个小屁孩。,Group_Child
连比你矮一头的小屁孩都打不过，真是气人。,Group_Child
满嘴网络热梗的小屁孩，真想一巴掌扇死。,Group_Child
我对小屁孩的厌恶到了极点，他们已经吵了一个小时了。,Group_Child
那个熊孩子都困到崩溃了。,Group_Child
现在的小屁孩越来越难骗了。,Group_Child
我真的会被一些没有礼貌的小屁孩气笑。,Group_Child
我受不了这群小屁孩了！,Group_Child
他的嘴角笑得很对称，看来叛逆期还没到。,Group_Child
我在看一群小屁孩打架。,Group_Child
熊家长和熊孩子都滚！,Group_Child
你个小屁孩，凭什么啊？,Group_Child
我竟然是个连17岁都不到的小屁孩。,Group_Child
我小时候没有叛逆期，因为爹妈打得太狠了。,Group_Child
一个十岁的小屁孩不准发春。,Group_Child
就算他们再聪明，也还是小屁孩，很容易被骗。,Group_Child
那两个小屁孩把烟花放冰箱里，惹出了大事。,Group_Child
一个小屁孩去迎合一群成年粉丝，思维完全不在一个层面。,Group_Child
当妈的都知道，女儿的叛逆期最不好管了。,Group_Child
那个小屁孩已经很会指使大人干活了。,Group_Child
他表面看着不良，实际还是个小屁孩。,Group_Child
当有个小屁孩整天在你背后叫阿姨的时候，感觉自己真的老了。,Group_Child
他情愿给那些名不见经传的小屁孩作配。,Group_Child
怎么才能把一个叛逆的弟弟变乖？,Group_Child
课间操半小时，就有七八个小屁孩来打小报告。,Group_Child
我至今仍不习惯被小屁孩喊阿姨。,Group_Child
那个小屁孩死活不吃饭，非要跟大人吃一样的。,Group_Child
我想看叛逆的小孩被女同性恋改造。,Group_Child
那个小屁孩作业加倍了，抱怨说手指都要写断了。,Group_Child
一个一年级的小屁孩懂什么叫征兆？,Group_Child
你这个小屁孩就给我老老实实滚去上学！,Group_Child
他净吃些小屁孩爱吃的东西。,Group_Child
跟一个小屁孩有什么好解释的？,Group_Child
那个早上7点就起床的小屁孩，还跑过来对我嘤嘤嘤。,Group_Child
那个气人的小屁孩，非常讨厌。,Group_Child
那个小屁孩，考试只考了18分。,Group_Child
这个小屁孩小小年纪就学会网络诈骗了。,Group_Child
我掰手腕居然输给了一个幼儿园的小屁孩。,Group_Child
那个小屁孩非要用手机听歌，一点也不体谅大人。,Group_Child
他现在正处于叛逆期！,Group_Child
就一个六岁的小屁孩，我还怕你不成！,Group_Child
这样抄袭出来的，只有装成熟的可笑小屁孩。,Group_Child
熊孩子从来不会道歉。,Group_Child
这个娃让你提前体验了一下叛逆期。,Group_Child
那个小狐狸玩偶被一个小屁孩一把扯掉了。,Group_Child
那两个小屁孩很早就从儿童节表演上下来了。,Group_Child
这些可恶的小屁孩，真想一拳打一个！,Group_Child
这群小屁孩太吵了，讲课讲得我嗓子都冒烟了。,Group_Child
十年过去了，他从小屁孩变成了魔童。,Group_Child
说吧，小屁孩。,Group_Child
没素质的小屁孩都给我滚出演唱会！,Group_Child
那些弹幕没眼看，肯定是一群小屁孩发的。,Group_Child
熊孩子在哪都让人头疼，他们的父母也很放任。,Group_Child
那两个小屁孩因为一点小事就吵架了。,Group_Child
真不敢相信这个小屁孩以后能干出那么大的事。,Group_Child
你这个小屁孩再给我打岔试试。,Group_Child
现在的小屁孩真没教养，居然光明正大看我裙底。,Group_Child
叛逆的儿子和不怎么保守的爹。,Group_Child
小屁孩不许乘坐公共交通工具。,Group_Child
